date,adj_close_cl_f,close_cl_f,high_cl_f,low_cl_f,open_cl_f,volume_cl_f
2024-01-02,70.37999725341797,70.37999725341797,73.63999938964844,70.05999755859375,71.70999908447266,330992
2024-01-03,72.69999694824219,72.69999694824219,73.2300033569336,69.27999877929688,70.5,334861
2024-01-04,72.19000244140625,72.19000244140625,74.0,71.05999755859375,73.04000091552734,344467
2024-01-05,73.80999755859375,73.80999755859375,74.23999786376953,72.20999908447266,72.4000015258789,325525
2024-01-08,70.7699966430664,70.7699966430664,73.94999694824219,70.12999725341797,73.51000213623047,392249
2024-01-09,72.23999786376953,72.23999786376953,72.93000030517578,70.47000122070312,70.91000366210938,363445
2024-01-10,71.37000274658203,71.37000274658203,73.58999633789062,71.01000213623047,72.16999816894531,352772
2024-01-11,72.0199966430664,72.0199966430664,73.80999755859375,71.16999816894531,71.33000183105469,373645
2024-01-12,72.68000030517578,72.68000030517578,75.25,72.36000061035156,73.01000213623047,403636
2024-01-16,72.4000015258789,72.4000015258789,73.55999755859375,71.2300033569336,72.62999725341797,430437
2024-01-17,72.55999755859375,72.55999755859375,72.94999694824219,70.5,72.0,315679
2024-01-18,74.08000183105469,74.08000183105469,74.37999725341797,72.18000030517578,72.77999877929688,86646
2024-01-19,73.41000366210938,73.41000366210938,74.91000366210938,73.19999694824219,74.08000183105469,78234
2024-01-22,75.19000244140625,75.19000244140625,75.75,72.88999938964844,73.41000366210938,372284
2024-01-23,74.37000274658203,74.37000274658203,75.25,73.41000366210938,74.68000030517578,306060
2024-01-24,75.08999633789062,75.08999633789062,75.83000183105469,73.94000244140625,74.56999969482422,323726
2024-01-25,77.36000061035156,77.36000061035156,77.51000213623047,75.16000366210938,75.30000305175781,320177
2024-01-26,78.01000213623047,78.01000213623047,78.26000213623047,76.05999755859375,77.1500015258789,365456
2024-01-29,76.77999877929688,76.77999877929688,79.29000091552734,76.41000366210938,78.9000015258789,331925
2024-01-30,77.81999969482422,77.81999969482422,78.13999938964844,75.8499984741211,77.0199966430664,347242
2024-01-31,75.8499984741211,75.8499984741211,78.11000061035156,75.5199966430664,77.83999633789062,344493
2024-02-01,73.81999969482422,73.81999969482422,76.94999694824219,73.69999694824219,75.95999908447266,577936
2024-02-02,72.27999877929688,72.27999877929688,74.5199966430664,71.79000091552734,73.91000366210938,467768
2024-02-05,72.77999877929688,72.77999877929688,73.27999877929688,71.41000366210938,72.75,350843
2024-02-06,73.30999755859375,73.30999755859375,73.81999969482422,72.37999725341797,72.76000213623047,310955
2024-02-07,73.86000061035156,73.86000061035156,74.22000122070312,73.2300033569336,73.5,294955
2024-02-08,76.22000122070312,76.22000122070312,76.58999633789062,73.55999755859375,74.08000183105469,377906
2024-02-09,76.83999633789062,76.83999633789062,77.29000091552734,75.93000030517578,76.41999816894531,302612
2024-02-12,76.91999816894531,76.91999816894531,77.08999633789062,75.54000091552734,76.5999984741211,248476
2024-02-13,77.87000274658203,77.87000274658203,78.47000122070312,76.87000274658203,77.02999877929688,338174
2024-02-14,76.63999938964844,76.63999938964844,78.7699966430664,76.37999725341797,77.80999755859375,296131
2024-02-15,78.02999877929688,78.02999877929688,78.44000244140625,75.77999877929688,76.5999984741211,122432
2024-02-16,79.19000244140625,79.19000244140625,79.3499984741211,77.22000122070312,78.11000061035156,113713
2024-02-20,78.18000030517578,78.18000030517578,79.80000305175781,77.66999816894531,78.9800033569336,435235
2024-02-21,77.91000366210938,77.91000366210938,78.08000183105469,76.31999969482422,77.1500015258789,323243
2024-02-22,78.61000061035156,78.61000061035156,78.91999816894531,77.2300033569336,78.08999633789062,330511
2024-02-23,76.48999786376953,76.48999786376953,78.38999938964844,76.3499984741211,78.37000274658203,353437
2024-02-26,77.58000183105469,77.58000183105469,78.02999877929688,75.83999633789062,76.4000015258789,274710
2024-02-27,78.87000274658203,78.87000274658203,79.0,77.16999816894531,77.62000274658203,269236
2024-02-28,78.54000091552734,78.54000091552734,79.62000274658203,77.77999877929688,78.4800033569336,330043
2024-02-29,78.26000213623047,78.26000213623047,79.27999877929688,77.94000244140625,78.19999694824219,317939
2024-03-01,79.97000122070312,79.97000122070312,80.8499984741211,78.05000305175781,78.27999877929688,363417
2024-03-04,78.73999786376953,78.73999786376953,80.41000366210938,78.55999755859375,80.13999938964844,347214
2024-03-05,78.1500015258789,78.1500015258789,79.48999786376953,77.5199966430664,78.73999786376953,436521
2024-03-06,79.12999725341797,79.12999725341797,80.66999816894531,77.98999786376953,78.1500015258789,371049
2024-03-07,78.93000030517578,78.93000030517578,79.52999877929688,78.0199966430664,79.12999725341797,432923
2024-03-08,78.01000213623047,78.01000213623047,79.98999786376953,77.55999755859375,79.51000213623047,347533
2024-03-11,77.93000030517578,77.93000030517578,78.47000122070312,76.79000091552734,77.80000305175781,329873
2024-03-12,77.55999755859375,77.55999755859375,78.7300033569336,77.33999633789062,78.08999633789062,309922
2024-03-13,79.72000122070312,79.72000122070312,79.9000015258789,77.56999969482422,78.05999755859375,316390
2024-03-14,81.26000213623047,81.26000213623047,81.62000274658203,79.56999969482422,79.62999725341797,297450
